name,code,Profesorado,Alumnado,Ordenadores,Con conexión a internet,Portatiles,Pizarras interactivas,Proyectores,Ordenadores para profesores
North Macedonia,MKD,69.96551724137932,165.01149425287358,0.37587071607690165,0.290261911395932,0.02486765115631095,0.01887712454722764,0.049595987740317635,0.34253326761951697
Norway,NOR,,,,,,,,
Panama,PAN,67.21714285714286,198.90285714285713,0.299241553665824,0.18013100436681223,0.09925879108250978,0.01784072626982303,0.037635026430705584,0.15157697866190598
Peru,PER,36.4054054054054,76.75675675675676,0.35528169014084504,0.1810641627543036,0.15492957746478872,0.0189358372456964,0.08806729264475743,0.15375732079518273
Philippines,PHL,87.20855614973262,425.5347593582888,0.17854853911404336,0.09012880929940308,0.014539742381401193,0.004976437323279925,0.02169022934338674,0.21449595290654896
Poland,POL,46.72083333333333,81.14583333333333,0.4081643132220796,0.40092426187419766,0.10510911424903724,0.0769191270860077,0.16333761232349167,0.4920181931686436
Portugal,PRT,135.42857142857142,181.23673469387754,0.33518005540166207,0.32313131995585886,0.04456906064905525,0.0697250185798257,0.1855280048645362,0.3078059071729958
Qatar,QAT,84.5846994535519,160.39890710382514,0.6658944571253365,0.6072633120975709,0.3115524818587538,0.20076312472319693,0.237999523047048,1.0029717682020804
Romania,ROU,62.49333333333333,143.59333333333333,0.43483912902177446,0.41343609266911185,0.046938112261479176,0.01532104554528994,0.08435860532058127,0.3059526349477278
Russian Federation,RUS,50.40890688259109,84.34412955465586,0.5167282676522825,0.47256756108097736,0.21950751212019393,0.14107425718811503,0.26827629242067874,0.7760822423901695
Saudi Arabia,SAU,32.48979591836735,90.24489795918367,0.2831298055178652,0.15671641791044774,0.06320669380370872,0.08175033921302578,0.12663952962460426,0.28800251256281406
Serbia,SRB,72.12121212121212,195.13333333333333,0.26058328415690907,0.2257042581606982,0.03043761841165326,0.008354815666055844,0.03928937478647079,0.30092436974789916
Singapore,SGP,106.0060606060606,265.3939393939394,1.0571134962320166,1.0355560630280887,0.9164421100707925,0.01724137931034483,0.29123087462891073,1.330741524212452
Slovak Republic,SVK,30.530898876404493,58.907303370786515,0.7799818797386868,0.7595250584140003,0.2647942396642983,0.14109961375232463,0.2510133040865958,0.9338485601251265
Slovenia,SVN,42.87543252595156,89.5916955017301,0.6712111849219836,0.6669241464545034,0.13780318245017767,0.08886914877182142,0.2970029352695813,1.001856185941409
Spain,ESP,63.88968335035751,74.64044943820225,0.7220040233738864,0.7056641988148837,0.3001519028916289,0.21895912306871207,0.36527855705937895,0.6373025516403402
Sweden,SWE,,,,,,,,
Switzerland,CHE,66.963133640553,129.58064516129033,0.5748070699527009,0.5691169671752195,0.25577011984778975,0.04648102706355133,0.22290977630783454,0.5733259927052509
Tatarstan (RUS),THA,42.28270042194093,62.71308016877637,0.535692659624571,0.5028594496400457,0.2539864092040638,0.16840476350669448,0.2829173114445267,1.2200379203672287
Thailand,TUR,90.7482269503546,347.26241134751774,0.32011273588759087,0.28583244832938487,0.035229964872150965,0.00853688424148354,0.06585450535087002,0.43065921613067093
Turkey,UKR,49.80978260869565,167.1086956521739,0.212599193443476,0.18502016391310006,0.023773903993755695,0.14531026408221676,0.025855340184727467,0.2160392798690671
United Arab Emirates,ARE,91.25832012678289,99.56101426307448,0.8629801187463191,0.7274565047832801,0.34226318386578164,0.3513522117695749,0.4697642583130382,0.8399555432064462
United Kingdom,GBR,66.17934782608695,167.7336956521739,1.539189320545637,1.4923533033081684,0.5257427988205943,0.2469137802546739,0.3269448854615559,1.8436807095343681
United States,USA,79.86524822695036,361.54609929078015,1.175173604299894,1.149633175095139,0.9144925261877672,0.12154262623092314,0.19924281062419083,1.6867951336471005
Uruguay,URY,110.34224598930481,171.62032085561498,0.15099866014395663,0.14274140778362882,0.041473218458853954,0.0032717415012619576,0.014239865391206806,0.0809343801492682
